time_s,dP_Pa,O2_pct,exhale_state
102.377,0.044,21.21,0
102.477,0.0,21.21,0
102.577,0.0,21.21,0
102.677,0.0,21.21,0
102.777,0.0,21.21,0
102.877,0.0,21.21,0
102.977,0.0,21.21,0
103.077,0.044,21.21,0
103.177,0.044,21.21,0
103.277,0.044,21.21,0
103.377,0.0,21.21,0
103.477,0.044,21.21,0
103.577,0.044,21.21,0
103.677,0.044,21.21,0
103.777,0.0,21.21,0
103.877,0.0,21.21,0
103.977,0.044,21.21,0
104.077,0.0,21.21,0
104.177,0.044,21.21,0
104.277,0.0,21.21,0
104.377,0.0,21.21,0
104.477,0.0,21.21,0
104.577,0.044,21.21,0
104.677,0.0,21.21,0
104.777,0.0,21.21,0
104.877,0.044,21.21,0
104.977,0.0,21.21,0
105.077,0.0,21.21,0
105.177,0.044,21.21,0
105.277,0.0,21.21,0
105.377,0.0,21.21,0
105.477,0.0,21.21,0
105.577,0.0,21.21,0
105.677,0.0,21.21,0
105.777,0.0,21.21,0
105.877,0.0,21.21,0
105.977,0.0,21.21,0
106.077,0.0,21.21,0
106.177,0.044,21.21,0
106.277,0.0,21.21,0
106.377,0.044,21.21,0
106.477,0.0,21.21,0
106.577,0.044,21.21,0
106.677,0.0,21.21,0
106.777,0.044,21.21,0
106.877,0.044,21.21,0
106.977,0.0,21.21,0
107.077,0.0,21.21,0
107.177,0.0,21.21,0
107.277,0.0,21.21,0
107.377,0.0,21.21,0
107.477,0.044,21.21,0
107.577,0.044,21.21,0
107.677,0.0,21.21,0
107.777,0.0,21.21,0
107.877,0.0,21.21,0
107.977,0.0,21.21,0
108.077,0.0,21.21,0
108.177,0.0,21.21,0
108.277,0.0,21.21,0
108.377,0.0,21.21,0
108.477,0.0,21.21,0
108.577,0.0,21.21,0
108.677,0.044,21.21,0
108.777,0.0,21.21,0
108.877,0.0,21.17,0
108.977,0.0,21.17,0
109.077,0.0,21.17,0
109.177,0.044,21.17,0
109.277,0.0,21.17,0
109.377,0.0,21.17,0
109.477,0.0,21.22,0
109.577,0.0,21.22,0
109.677,0.0,21.22,0
109.777,0.0,21.22,0
109.877,0.0,21.22,0
109.977,0.0,21.22,0
110.077,0.0,21.17,0
110.177,0.0,21.17,0
110.277,0.0,21.17,0
110.377,0.0,21.17,0
110.477,0.0,21.17,0
110.577,0.0,21.17,0
110.677,0.0,21.22,0
110.777,0.0,21.22,0
110.877,0.0,21.22,0
110.977,0.0,21.22,0
111.077,0.0,21.22,0
111.177,0.0,21.22,0
111.277,0.0,21.21,0
111.377,0.0,21.21,0
111.477,0.0,21.21,0
111.577,0.0,21.21,0
111.677,0.0,21.21,0
111.777,0.0,21.21,0
111.877,0.0,21.17,0
111.977,0.0,21.17,0
112.077,0.0,21.17,0
112.177,0.0,21.17,0
112.277,0.0,21.17,0
112.377,0.0,21.17,0
112.477,0.0,21.17,0
112.577,0.0,21.17,0
112.677,0.0,21.17,0
112.777,0.0,21.17,0
112.877,0.0,21.17,0
112.977,0.0,21.17,0
113.077,0.0,21.21,0
113.177,0.0,21.21,0
113.277,0.0,21.21,0
113.377,0.0,21.21,0
113.477,0.0,21.21,0
113.577,0.0,21.21,0
113.677,0.0,21.21,0
113.777,0.0,21.21,0
113.877,0.0,21.21,0
113.977,0.0,21.21,0
114.077,0.0,21.21,0
114.177,0.0,21.21,0
114.277,0.0,21.21,0
114.377,0.0,21.21,0
114.477,0.0,21.21,0
114.577,0.0,21.21,0
114.677,0.0,21.21,0
114.777,0.0,21.21,0
114.877,0.0,21.21,0
114.977,0.0,21.21,0
115.077,0.0,21.21,0
115.177,0.0,21.21,0
115.277,0.044,21.21,0
115.377,0.0,21.21,0
115.477,0.0,21.21,0
115.577,0.0,21.21,0
115.677,0.0,21.21,0
115.777,0.0,21.21,0
115.877,0.0,21.21,0
115.977,0.0,21.21,0
116.077,0.044,21.17,0
116.177,0.0,21.17,0
116.277,0.0,21.17,0
116.377,0.0,21.17,0
116.477,0.0,21.17,0
116.577,0.0,21.17,0
116.677,0.0,21.21,0
116.777,0.0,21.21,0
116.877,0.0,21.21,0
116.977,0.0,21.21,0
117.077,0.0,21.21,0
117.177,0.0,21.21,0
117.277,0.0,21.21,0
117.377,0.0,21.21,0
117.477,0.0,21.21,0
117.577,0.0,21.21,0
117.677,0.0,21.21,0
117.777,0.0,21.21,0
117.877,0.0,21.21,0
117.977,0.0,21.21,0
118.077,0.0,21.21,0
118.177,0.0,21.21,0
118.277,0.0,21.21,0
118.377,0.0,21.21,0
118.477,0.0,21.21,0
118.577,0.0,21.21,0
118.677,0.0,21.21,0
118.777,0.0,21.21,0
118.877,0.0,21.21,0
118.977,0.0,21.21,0
119.077,0.0,21.21,0
119.177,0.0,21.21,0
119.277,0.0,21.21,0
119.377,0.0,21.21,0
119.477,0.0,21.21,0
119.577,0.0,21.21,0
119.677,0.0,21.21,0
119.777,0.0,21.21,0
119.877,0.0,21.21,0
119.977,0.0,21.21,0
120.077,0.0,21.21,0
120.177,0.0,21.21,0
120.277,0.0,21.21,0
120.377,0.0,21.21,0
120.477,0.0,21.21,0
120.577,0.0,21.21,0
120.677,0.0,21.21,0
120.777,0.0,21.21,0
120.877,0.0,21.21,0
120.977,0.0,21.21,0
121.077,0.0,21.21,0
121.177,0.0,21.21,0
121.277,0.0,21.21,0
121.377,0.0,21.21,0
121.477,0.0,21.21,0
121.577,0.0,21.21,0
121.677,0.0,21.21,0
121.777,0.0,21.21,0
121.877,0.0,21.21,0
121.977,0.044,21.21,0
122.077,0.0,21.21,0
122.177,0.0,21.21,0
122.277,0.0,21.21,0
122.377,0.0,21.21,0
122.477,0.0,21.21,0
122.577,0.0,21.21,0
122.677,0.0,21.21,0
122.777,0.089,21.21,0
122.877,0.089,21.21,0
122.977,0.131,21.21,0
123.077,0.177,21.21,0
123.177,0.044,21.21,0
123.277,0.044,21.21,0
123.377,0.0,21.21,0
123.477,0.0,21.21,0
123.577,0.089,21.21,0
123.677,0.131,21.21,0
123.777,0.264,21.21,0
123.877,0.264,21.21,0
123.977,0.223,21.21,0
124.077,0.356,21.21,0
124.177,0.177,21.21,0
124.277,0.131,21.21,0
124.377,0.177,21.21,0
124.477,0.177,21.21,0
124.577,0.044,21.21,0
124.677,0.044,21.21,0
124.777,0.0,21.21,0
124.877,0.0,21.21,0
124.977,0.264,21.21,0
125.077,0.0,20.9,0
125.177,0.089,20.9,0
125.277,0.0,20.9,0
125.377,0.0,20.9,0
125.477,0.0,20.9,0
125.577,0.0,20.9,0
125.677,0.0,20.42,0
125.777,0.0,20.42,0
125.877,0.0,20.42,0
125.977,0.0,20.42,0
126.077,0.0,20.42,0
126.177,0.0,20.42,0
126.277,0.0,19.95,0
126.377,0.0,19.95,0
126.477,0.0,19.95,0
126.577,0.0,19.95,0
126.677,0.044,19.95,0
126.777,0.044,19.95,0
126.877,0.131,19.54,0
126.977,0.0,19.54,0
127.077,0.044,19.54,0
127.177,0.0,19.54,0
127.277,0.444,19.54,0
127.377,0.131,19.54,0
127.477,0.444,19.14,0
127.577,0.398,19.14,0
127.677,0.131,19.14,0
127.777,0.0,19.14,0
127.877,0.356,19.14,0
127.977,0.398,19.14,0
128.077,0.089,18.97,0
128.177,0.706,18.97,0
128.277,1.064,18.97,0
128.377,1.11,18.97,1
128.477,0.535,18.97,1
128.577,0.844,18.97,1
128.677,0.223,19.0,1
128.777,0.398,19.0,1
128.877,0.0,19.0,1
128.977,0.0,19.0,1
129.077,0.0,19.0,0
129.177,0.0,19.0,0
129.277,0.0,18.9,0
129.377,0.0,18.9,0
129.477,0.0,18.9,0
129.577,0.0,18.9,0
129.677,0.0,18.9,0
129.777,0.0,18.9,0
129.877,0.0,18.59,0
129.977,0.0,18.59,0
130.077,3.914,18.59,0
130.177,4.135,18.59,0
130.277,4.223,18.59,1
130.377,3.027,18.59,1
130.477,2.985,18.32,1
130.577,1.606,18.32,1
130.677,2.277,18.32,1
130.777,1.785,18.32,1
130.877,2.189,18.32,1
130.977,1.831,18.32,1
131.077,1.152,18.18,1
131.177,1.064,18.18,1
131.277,0.223,18.18,1
131.377,0.131,18.18,1
131.477,0.0,18.18,1
131.577,0.0,18.18,1
131.677,0.0,18.01,0
131.777,0.0,18.01,0
131.877,0.0,18.01,0
131.977,0.0,18.01,0
132.077,0.0,18.01,0
132.177,0.0,18.01,0
132.277,0.0,17.81,0
132.377,0.0,17.81,0
132.477,0.0,17.81,0
132.577,0.0,17.81,0
132.677,2.852,17.81,0
132.777,2.189,17.81,0
132.877,2.456,17.61,1
132.977,2.41,17.61,1
133.077,2.144,17.61,1
133.177,2.323,17.61,1
133.277,1.702,17.61,1
133.377,1.923,17.61,1
133.477,1.331,17.54,1
133.577,1.064,17.54,1
133.677,0.798,17.54,1
133.777,0.223,17.54,1
133.877,0.0,17.54,1
133.977,0.0,17.54,1
134.077,0.0,17.55,0
134.177,0.0,17.55,0
134.277,0.0,17.55,0
134.377,0.0,17.55,0
134.477,0.0,17.55,0
134.577,0.0,17.55,0
134.677,0.0,17.47,0
134.777,0.0,17.47,0
134.877,0.0,17.47,0
134.977,0.0,17.47,0
135.077,0.0,17.47,0
135.177,0.0,17.47,0
135.277,2.589,17.4,0
135.377,2.673,17.4,0
135.477,2.719,17.4,1
135.577,2.631,17.4,1
135.677,2.806,17.4,1
135.777,2.589,17.4,1
135.877,2.144,17.3,1
135.977,2.052,17.3,1
136.077,1.969,17.3,1
136.177,1.464,17.3,1
136.277,0.706,17.3,1
136.377,0.356,17.3,1
136.477,0.089,17.4,1
136.577,0.0,17.4,1
136.677,0.0,17.4,0
136.777,0.0,17.4,0
136.877,0.0,17.4,0
136.977,0.0,17.4,0
137.077,0.0,17.4,0
137.177,0.0,17.4,0
137.277,0.0,17.4,0
137.377,0.0,17.4,0
137.477,0.0,17.4,0
137.577,0.0,17.4,0
137.677,0.0,17.38,0
137.777,0.0,17.38,0
137.877,1.285,17.38,0
137.977,1.377,17.38,0
138.077,2.235,17.38,1
138.177,1.969,17.38,1
138.277,2.277,17.3,1
138.377,2.235,17.3,1
138.477,1.969,17.3,1
138.577,1.606,17.3,1
138.677,1.285,17.3,1
138.777,1.331,17.3,1
138.877,1.194,17.37,1
138.977,1.194,17.37,1
139.077,0.973,17.37,1
139.177,0.0,17.37,1
139.277,0.0,17.37,1
139.377,0.0,17.37,0
139.477,0.0,17.43,0
139.577,0.0,17.43,0
139.677,0.0,17.43,0
139.777,0.0,17.43,0
139.877,0.0,17.43,0
139.977,0.0,17.43,0
140.077,0.0,17.4,0
140.177,0.0,17.4,0
140.277,0.0,17.4,0
140.377,2.544,17.4,0
140.477,3.385,17.4,0
140.577,4.223,17.4,1
140.677,3.914,17.37,1
140.777,3.914,17.37,1
140.877,3.294,17.37,1
140.977,3.827,17.37,1
141.077,2.498,17.37,1
